RA,DEC,R500,M500,Z
44.1375,0.1033,0.941,345200000000000.0,0.36
44.6921,0.2122,0.6113,84510000000000.0,0.259
44.8908,0.2292,0.6936,115080000000000.0,0.194
72.9767,0.1053,0.97,410010000000000.0,0.43
74.7296,0.4892,0.3405,11400000000000.0,0.015
76.7254,2.9522,0.8046,171100000000000.0,0.1475
201.5742,0.2256,0.8402,182580000000000.0,0.0826
353.9046,2.2914,0.6116,97850000000000.0,0.3877
355.2763,0.3147,0.7629,140440000000000.0,0.11
324.2792,0.4467,0.4139,21170000000000.0,0.0509
29.8258,0.5025,0.8273,241750000000000.0,0.386
24.9146,1.3242,0.6087,83070000000000.0,0.255
